Crop,Question,Answer
cassava,how do I space cassava lines while planting?,1 by 1 meter square
beans,how do I space my beans while planting?,10X30cm
beans,how do I store beans properly after removing from the garden?,"First dry them well, apply seed dressing and keep them in silos"
beans,how do I store seeds for planting in the next season?,"Dry them well and keep them in silos, alternatively, carryout seed dressing"
beans,how do i plant F10?,Keep growing the harvested seeds from F1 until you reach the tenth generation. The tenth generation is the F10
cassava,how do they cook cassava?,Boiled or as flour to make Kalo
beans,how do this white caterpillars get in the garden?,The adult stage of the pest (butterflies) lay eggs which grow into larvae (caterpillars)
cassava,how do we call the milky liquid that comes out of cassava plant?,Sap
cassava,how do we call the virus found in the cassava,Cassava mosaic virus that Is spread by the whiteflies
cassava,how do we call the whitish insects found in cassava?,Whiteflies
general,how do we control rats in the garden,Traps or rodenticides
cassava,how do we get cassava flour?,By drying and milling cassava
cassava,how do you know that cassava is ready for harvesting,After 12 months or by checking the root size
cassava,how do you know that cassava is ready for storage,When it has dried and easily breaks on small pressure
cassava,how does cassava mosaic disease spread,By whiteflies and infected planting material
cassava,how does NAROCASS 1 look like,Light green stems
cassava,how does NASE14 look like,Green leaves and slightly green petioles
maize,how does The maize diseases spread,By vectors
cassava,how does bacterial blight CBB affects the crops,Reduces yield
beans,how does bean seeds germinate,They have potential to grow
beans,how does beans diseases spread,Through poor seeds and vectors in environment
cassava,how does cassava bacteria blight spread,Use of diseased planting material and poor crop management practices
cassava,how does cassava diseases spread among cassava leaves?,Through insects called whiteflies
cassava,how does cassava green mites affect cassava,"Brings about 50% reduction in leaf weight, and up to 80% tuber yield loss"
cassava,how does cassava mosaic affect cassava leaves?,It makes them coiled and not able to manufacture food
maize,how does climate change affect maize growth,Makes maize yield less
maize,how does climate change affect the yields of maize,Reduces them due to poor plant performance
general,how does fall armyworms look like,The fall army worm larvae is a dark green caterpillar almost brown
beans,how does fertilization occur in beans,Through pollination
cassava,how does fertilization occur in cassava,Through pollination
maize,how does fertilization occur in maize,When pollen moves from anther to stigma
general,how does fusarium root spread,Through left over rotting plants
maize,how does maize disease being spread,Vectors such as larvae and flies
maize,how does maize diseases spread,Through vectors
general,how does nitrogen fixing bacteria help the soil,They add nitrogen
general,how does nutrients cycling improve on the crops,It improves yields and crop effects on the environment
general,how does organic manure help crops,It provides nutrients especially nitrogen
general,how does pest affect plants,It reduces its functionality hence yield
general,how does rust spread in beans,Vectors and wind
general,how does southern Blight spread,Use of diseased planting material and poor crop management practices
general,how does steaks plants appear on leaves when is affect,Streaks are yellowish islands on leaves affected by viral diseases
general,how does the bacterial wilt affect the crops,It reduces yield
general,how does the been disease spread,Use of diseased planting material and poor crop management practices
beans,how does the common Blight in beans spread,Vectors like insects spread diseases
cassava,how does the diseases that affect cassava spread?,Use of diseased planting material and poor crop management practices
maize,how does the maize disease spread,Use of diseased planting material and poor crop management practices
maize,how does the maize diseases spread,Through insect vectors
cassava,how does the mosaic disease affects the crops,Through reducing yield
general,how does the southern Blight affects the crops,It reduces yield and productivity
maize,how early is maize affected by diseases?,It depends on the disease but most diseases start the moment maize is planted in the soil
cassava,how is cassava bacteria blight be controlled?,Planting clean planting materials
cassava,how is cassava mosaic controlled?,Use clean planting material
cassava,how long should I take to plant my cassava cutting?,Keep them for about a week
beans,how long can I dry Bean seed for planting,About a week to two weeks
cassava,how long can I store my cassava,Seeds can be stoired for aweek
maize,how long can I store my maize in store,About a year as long as it is well dried
cassava,how long do cassava stems mature for planting,A stem will mature within 9-12 months depending on variety
beans,how long does Beans take to mature,Atmost 3 months dependning on variety
beans,how long does beans take to get mature,Maximum three months
beans,how long does beans take to mature,About 60-80 days depending on variety
cassava,how long does cassava seeds takes to germinate and grow,About a week or two
cassava,how long does cassava take to mature?,12 months
beans,how long does it take beans to mature,60-80 days
cassava,how long does it take cassava to mature,Most varieties between 6 - 9 months
maize,how long does it take for maize to germinate,Approximately in 5 to 10 days
maize,how long does it take for maize to mature,90 days
maize,how long does it take maize to mature,About 90-120 days depending on variety
maize,how long does longe 3 take to mature,3.5 months
maize,how long does maize take to be mature,4 months maximum
cassava,how long it takes for a stem to mature for planting,9-12 months
cassava,how long it takes for cassava cutting to germinate,2 weeks
maize,how long it takes for the maize to mature,About 110 days
cassava,how long should Cassava take to be mature,12 months
maize,how long should I keep my maize in a store,As long as it is kept away from spoilage
maize,how long should I keep my maize in the store,As long as its quality is good but at least a year
cassava,how long should I make cassava cuttings,About 10 -15cms
cassava,how long should I take to plant my cassava cutting,Cassava that is about 9-15 months can be used for planting
cassava,how long should I take to plant my cassava cuttings?,At least 2 weeks
cassava,how long should I take to weed my cassava after planting,Every time weeds are there
maize,how long should I wait to plant a crop in between maize?,Plant at the same time the maize is planted
maize,how long should da pits be when planting maize,5 cm deep
maize,how make maize feel healthy in a dry season,Irrigate the crop
beans,how many bean seeds should I plant per hole,Plant one ot two seeds per hole
beans,how many bean seeds should I plant in per hole,Two maximum
maize,how many types of maize in Uganda,Many including even local varieties
beans,how many years should I plant my beans in the same garden,At least twice in a consecutive seasons
beans,how many bean seed should I plant per hole,Plant one or two seeds per hole but one is the most recommended
beans,how many bean seed should I put in the hole when planting,Plant one or two seeds per hole but one is the most recommended
beans,how many bean seeds should be planted per hole,Plant one or two seeds per hole but one is the most recommended
cassava,how many cassava varieties are in Uganda,Many varieties including local varieties
beans,how many days does it take for a bean seed to germinate,4-7 days
beans,how many diseases attack beans,Very many
cassava,how many diseases attack cassava,"Mainly 3-CMD, CBSD and CBB"
cassava,how many diseases attack cassava in Uganda,"Mainly three (CBSD, CMD and CBB)"
general,how many fertilizer is good for agriculture,NPK and phosphate fertilizers
beans,how many fertilizer is good for growing beans,Depends on acreage but about 25Kg per acre
cassava,how many hours should chemical last on cassava leaves after spraying,At least 5 hours
cassava,how many inches can I use for cutting my cassava,25 inches
maize,how many inches can I use for planting my maize,80X200 inches
cassava,how many inches can I use in my cassava cutting,20-30 inches
cassava,how many inches should I use for cutting my cassava stem,About 20 inches
maize,how many maize plant seedlings should I leave while thining,"Dependning on plant vigor, one or two should be left"
maize,how many maize plants should I leave after thinning,One plant
maize,how many maize seeds should I plant per hole,Plant one or two seeds per hole but one is the most recommended
beans,how many meters should I put when planting my beans,0.1X0.3 m
cassava,how many months does cassava take to mature,12 months
beans,how many months should a planted beans take s to get ready for uprooted,2.5-3.5 months
beans,how many months should planted beans take to get ready for uprooting,Beans usually take about 90-108 days
cassava,how many node should cassava cutting,Six
cassava,how many nodes should a good cassava cutting have,4-6 nodes
cassava,how many nodules should a good cassava have,Cassava has no nodules
cassava,how many roots should heathy cassava cutting have,At least 4
beans,how many seasons can I grow beans in a year,Two seasons
beans,how many seeds can I plant in a hole?,The ideal seed rate is 2 seeds per hole
maize,how many seeds should I put in a hole?,Preferrebly two seeds
beans,how many seeds should I put when planting beans,2-3 seeds depending on varaties
cassava,how many stems of cassava can I plant in one pit,1 stem
cassava,how many stems should I plant of cassava,1 stem per hole
general,how many sucks of seeds can I use for planting my two acres,One 50 kilogram sack
cassava,how many time do I have to weed cassava,Every time weeds appear
cassava,how many times can I weed cassava,Weeding is done every time there are many weeds in the garden
cassava,how many times can I harvest cassava in a year?,"Once, because cassava takes a whole year to mature"
beans,how many times can I take to weed my Beans,Two times that is a month after germination and before flowering
maize,how many times can I weed maize,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
cassava,how many times can I weed my cassava garden,Weeding is done every time there are many weeds in the garden but at least three times in the growing cycle
cassava,how many times do I need to weed my cassava in order to get good quality?,Weeding is done every time there are many weeds in the garden but atleast three times in the growing cycle
cassava,how many times should I weed my cassava,Weeding is done every time there are many weeds in the garden but atleast two times in the growing cycle
cassava,how many times should I plough my garden before planting cassava,Two times are enough to ensure a smooth and well prepared garden
cassava,how many times should I apply fertilizer in my cassava garden,Not so much required but if there is need for fertilizer apply only Once
maize,how many times should I apply totalizer in my maize garden,once to two times
beans,how many times should I fertilizer into the beans,At least once on planting
cassava,how many times should I plough my garden for planting cassava,Two times are enough to ensure a smooth and well prepared garden
maize,how many times should I spray maize garden,Depends on what you are spraying
beans,how many times should I spray my beans,Apply around planting time in the soil and on the foliage at vegetative stage before flowering
cassava,how many times should I spray my cassava,When pests attack
beans,how many times should I take to weed my Beans,Two times that is a month after germination and before flowering
maize,how many times should I take to weed my maize,Two times that is a month after germination and before flowering
beans,how many times should I. apply fertilizer in my bean,One to two times depending on the soil quality
general,how many times should a farmer carry out seed dressing before planting,Once
general,how many times should a farmer weed his been garden,Twice atleast
maize,how many times should apply fertilizer in my maize garden,At least once
maize,how many times should spray my maize,Depends on what you are spraying
beans,how many types of beans in Uganda,"Many, improved and local varieties"
beans,how many types should I spray my beans,When the pest population is high enough
cassava,how many varieties of cassava should we have in Uganda,About 20 improved and many locals
beans,how many verities of beans do we have?,Many varieties including local varieties
cassava,how many years does cassava take to mature?,One year
cassava,how many years should I plant cassava in the same garden,Atleast three years and therafter use another crop (Crop rotation)
cassava,how many years should cassava take before uprooting,1 year
cassava,how mature should be the stems for planting,At least after 9 months of growing
maize,how may seeds can I put in da pit when planting maize,One or two seeds
beans,how months does beans take to mature,2.5-3.5 months
cassava,how much cassava can I get in an acre,About 10-30 tones
cassava,how much do groups here charge for digging a garden?,"It is 50,000 /= per acre"
cassava,how much soil do I need to cover a stem in the ground?,Cover thinly
cassava,how often should I apply fertilizer in a cassava garden?,Mainly at planting
maize,how often should I spray maize?,Use a two weeks interval after germination
cassava,how often should I spray my cassava plants?,"Spray 4, 8 and 12 weeks after planting"
cassava,how often should I weed my cassava?,At least twice
maize,how prevent pests in maize,Use pesticides or appropriate methods of planting
cassava,how should I plant my cassava stem cutting,Burry underground at least 10 cm deep
general,how should I carry out crop rotation,By growing different crops in different seasons
cassava,how should I dry My cassava,Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them
beans,how should I improve it's yield of my beans,Use clean seed of resistant varieties and good agronomic practice
beans,how should I improve yields of my beans,Use fertilisers and manure and also improved seeds
beans,how should I plant beans,10X30cm spacing and 5 cm
maize,how should I space Maize,30X70 cm
cassava,how should I space my cassava while planting,1meter by 1 meter
beans,how should I store my beans,Store in a cool dry place
general,how should I use the pesticide,As reccomended by manufacture
cassava,how should I weed a cassava garden?,Use a garden hoe to remove weeds while bringing the soil to cover well the root area
general,how should a farmer apply fertilizer and chemicals in his garden,Broadcast or around the plant
general,how should farmer maintain crop rotation,Use crops as described in the rotation cycle
maize,how to control maize pests in the garden,Use good crop management practices and where possible use chemicals (pesticides) to kill the pests
maize,how to control pests in maize,Use good cropping practices
maize,how to control quality of maize,Make sure you use better cropping methods
general,how to control soil erosion,Terracing
general,how to control stem bores,Use resistant verities and increase on water availability for crop vigor
general,how to control termites in my garden,Use termiticides
general,how to control water logging garden,Drain water using draining galleys
general,how to control weeds,Use the right herbicide which is recommended
general,how to control weeds in the garden,Weed the garden regularly
cassava,how to control weevils in my cassava store,Use pest control chemicals recommended in stores
general,how to control weevils in the store,Take preventative steps through better management and storage and where possible use recommended insecticides  
general,how to determine loam soil,Its black and has a lot of nutrients
cassava,how to dry cassava,Dry your produce on tarpaulines or cement flor away from dust and grit that would contaminate them
beans,how to eliminate spiders in beans,Use miticides
maize,how to eliminate squirrels in my maize garden,Use traps and poison
maize,how to eliminate weeds in a maize garden,Constant weeding and mulching if posible
general,how to fence my garden,Use barbed wire
general,how to fight termites in my garden,Using termiticides but also if a variety is resistant to termites
cassava,how to get health cassava cuttings,Go to the district or NARO offices
maize,how to grow maize,Plant at a spacing of 30X75 in a well prepared garden
cassava,how to harvest cassava,Dig up the plant to expose the roots and remove roots without damaging them
maize,how to harvest maize,Use manual means of breaking off the cob or other means using machines
cassava,how to improve cassava yields,Use clean seed of resistant varieties and good agronomic practice
maize,how to improve maize quality,Use better cropping practices
maize,how to increase maize performance,Use good varieties
beans,how to maintain flowering beans,Use good flowering flowers
beans,how to maintain harvested beans,Store in a cool dry place
cassava,how to maintain young cassava,Weed and provide water
cassava,how to make I good cassava cuttings,Cut about 6-10 cm long cuttings
general,how to make cow dug based fertilizer,Compost the dung into manure
cassava,how to make more yields of cassava,Plant improved varieties
general,how to make nitrogen based fertilizer,Add organic matter and protein based material
general,how to make organic fertilizer,Organic fertiliser is produced by compositing home and agricultural waste and applied as per a crop recommendation
general,how to make organic mature,Compost home waste into manure
maize,how to manage a maize garden in a swampy area,Make sure soil is well drained
beans,how to manage harvested beans,Dry them properly
maize,how to manage harvested maize,Dry it properly and store
cassava,how to mulch my beans garden,Mulch before they emerge from the soil
maize,how to mulch my cassava garden,Yes
maize,how to plant maize in a cassava garden,Maize can be planted between the cassava plants at a spacing of 0.5m away from cassava plant and 0.5m away from another maize plant
cassava,how to plant the cassava cuttings,Plant at a spacing of 1X1 meter and 10 cm deep
cassava,how to prepare cassava,Peel it and you can also make flour
general,how to prevent and control sclerotium rolfsii,By using clean seeds and making sure the garden is free from old plants
cassava,how to prevent cassava root rotting,Use improved varieties and good crop management
maize,how to prevent fall army worms in maize,Use good agric practices and pesticides
maize,how to prevent monkeys from destroying maize,Use scare crows or chemicals
beans,how to prevent my beans from drying,In the garden try irrigation and reduce attack by pests
maize,how to prevent people from stealing maize,Use security
cassava,how to prevent termites from eating my cassava,Use termiticides on reccomendation of the agric officer
maize,how to remove weevils in my maize,Use insecticides
cassava,how to store cassava,Store in a raised place off the ground in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
maize,how to store maize,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
beans,how to treat beans in a sunny season,Irrigate or plat drought resistant variety
maize,how. does climate change affect maize yielding,Reduces yield
general,identify two ways of controling the disease in the garden.,Before planting inspect and select materials free from disease and green mites. Also use good management practices.
beans,if I growing beans how many times are we weeds,Two times that is a month after germination and before flowering
cassava,if I growing cassava how many times are we weeds,2 to 3 times
maize,if I intercrop cassava and maize does it have any effect?,No effect
maize,if I intercrop crop cassava and maize does it have any effect?,"NO, it is economically viable"
beans,"if I put beans on cement, will it make it not to germinate?","Yes, on the cement, the beans will absorb moisture and rot due to high moisture content which causes them not to germinate."
beans,if my beans are eaten up by weevils what can I do,Kill the weevils and use beans as grain
cassava,"if the cassava plant is healthy, what makes it's leaf to wilt and steam to dry.",Drying of stems and wilting of leaves is due to cassava bacterial blight disease
general,in which month are we having much rainfall,August and March
beans,in which way should I spray my beans,Spray on the leaves and under them for better results
cassava,is cassava a vegetable?,"Yes, the leaves"
cassava,is cassava mosaic disease a DNA virus?,It is caused by a DNA virus
maize,is clay land recommended for maize garden,No
cassava,is healthy to eat raw cassava roots?,No
beans,is hybrid resistant to pest and diseases?,"No, they are not resistant to pests and diseases"
general,is imidacloprid acid dangerous to humans,Yes
general,is it for the farmer to spray his crops in morning hours of the day,Yes
general,is it good for me to mix foliar fertilizer and pesticide while spraying,No
maize,is it good for pruning maize,No may be thinning
maize,is it good to broadcast maize,No
cassava,is it good to consume affected cassava,Yes
general,is it good to mulch during a rainy season,Yes
general,is it good to plant expired make seeds?,No
beans,is it good to sow beans,Yes
cassava,is it healthy to eat fresh cassava infected by cassava mosaic?,It has no problem
cassava,is it possible to avoid cassava green mite,"yes, by planting of certified healthy cuttings, planting at the onset of the rains to encourage vigorous growth and thereby increase tolerance to mite attacks"
cassava,is it safe to eat cassava leaves?,Yes
general,is there any chemical I can use to store after harvesting,Phosphine
maize,is there any. chemical l can use to store My maize after harvesting,Phosphine
cassava,is yellowish on cassava leaves a sign of Mosaic disease?,No
maize,it's too sunny and my maize is drying so what can I do,Irrigate the crop
cassava,may I know lifecyle of white flies,"6-10 days for egg hatch, 3-4 days as a nymph I, 4-5 days as nymph II, 4-5 days as nymph III, 6-10 days for the pupa. Adults can live for 30 to 40 days."
general,methods used when watering a garden,Irrigation procedures
maize,months of planting maize,March and august
general,name the materials needed for seed germination,Nutrient and good conditions
beans,plants that can be planted after harvesting beans,Sweet potato or maize
cassava,should I plant my cassava stem during shine season,1X1Meters spacing and 10 cm deep in the soil
beans,should I spray bees in my beans garden,Depends on what you are spraying
beans,should I use one fertilizer for beans from beginning to end,Not really. You can use several as per the need
beans,should stored beans seeds be sprayed,"Yes, to control weevils"
beans,since naro beans are common in our market how many kilograms should I get in one acre,20-30 kilograms of beans
maize,soil suitable for growing maize,Loam
cassava,sometimes cassava peeling a hard,Yes depending on variety
general,state the characteristics of Sandy soil,Easily looses water
cassava,state the characteristics of cassava,White tuberous root on a shrubby plant
beans,there are how many types of beans seeds?,7 bean types
beans,there many types of beans which one is good for farmers,Early maturing and disease resistant beans like NAROBEAN 2
cassava,there many types of fertilizer which one is good for cassava in garden,NPK and phosphate fertilizers
cassava,these cassava infected by cassava mosaic don't they have effect in the body when eaten?,No
maize,types of maize,"Longe 9,10 and all the newly released varietie by NARO"
maize,w can I use for storing my maize,A cool dry place
beans,wat can I use for drying my beans,Use tarpaulins or cemented floor free from dust
cassava,we need signs of bacteria blight to cassava plant?,Islands on the leaf
cassava,what are the symptoms of Cassava mosaic,Coiling of leaves
beans,what brings very small flies in my in my beans garden,They feed on the crop
maize,what can I use for drying my maize,Use tarpaulins or cemented floor free from dust
beans,what can I use for storing my beans,Store in good pico bags in a cool dry place making sure that pests do not tamper with the harvest
general,what is crop rotation,A management practice of Growing different crops on the same field in consecutive seasosns. It is important in improving yields and cycling nutrients
general,what ls crop rotation,The growing of different crops on the same piece of land in different seasons
general,what should I do when handling the chemical,Protect yourself from it
maize,what should I use for. transporting my maize during harvesting,A truck if produced in large quantity
cassava,what acids are found in cassava,No acid in cassava
general,what adjustment can I do to improve yields of my produce,Use clean seed of resistant varieties and good agronomic practice
beans,what affects beans in early stages?,Pests and diseases
maize,what are Stewart's diseases in maize,The disease that causes lesions on maize and is caused by bacteria
cassava,what are brown streak virus in Cassava,Viruses that cause browning of leaves and roots in cassava
cassava,what are cassava viruses,Virus which attack cassava
maize,what are characteristics of high yielding Maize,Many cobs/seeds
beans,what are common beans disease,"Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold."
beans,what are common condition favorite for growing my beans,Loamy soils and in the right season when there is rainfall
maize,what are common disease in maize,Viral and bacterial diseases
general,what are crop nutrients,Materials that improve crop growth
general,what are crop pests,Animals or insects which spoil crops
general,what are examples of leguminous plants,"Beans, soya beans etc"
maize,what are factors that affect maize growing,Poor growing conditions
cassava,what are fusarium root in Cassava,Fungal infection causing rotting
cassava,what are good stages of spraying cassava,Depends on what you are spraying
maize,what are good stages of spraying maize,Vegetative stage
general,what are legumes,Crops such as beans and soya beans which are nitrogen fixers
maize,what are maize pests,"Termites, Leaf hoppers, stem borers, cut worms, etc"
general,what are micro organism,Small organisms
general,what are pests,Insects or animals that eat crops
maize,what are precautions taken while handling herbicide into the maize garden,Protect yourself from it
general,what are qualities of good seeds for planting,High viability
beans,what are rust in beans,"Fungal diseases affecting bean leaves, pods etc"
general,what are seed companies and urban traders,People who trade in agricultural produce
general,what are seeds dormancy,Failure to germinate
cassava,what are signs of the mosaic disease in the Cassava,Folding of leaves and low yield
cassava,what are some of the signs of cassava mosaic disease,Folding of leaves
cassava,what are the distance of cassava planting,1X1Meters
general,what are the activities carried out under primary tillage?,Removing tree stumps and clearing the garden
general,what are the advantages of using Organic mulches when planting crops?,They easily decompose
general,what are the agents of pollination?,"Insects, water, air, wind"
general,what are the agricultural practices?,Good ways of practicing agric
cassava,what are the agronomic practices of cassava,"Timely planting, timely weeding, spraying with pesticides, soil anchorage"
beans,what are the beans pests,"These include moth, caterpillars etc"
maize,what are the best soil for maize,"Well drained, fertile loam soils that are deep enough to support plant growth."
cassava,what are the better ways of planting cassava seeds than cassava stems,Seeds are sowed
general,what are the challenges in crop spacing,Reduce of yield
general,what are the characteristics of a well drained fertile soil,Good aeration
beans,what are the characteristics of high yeilding beans,They put on many seeds
cassava,what are the characteristics of resistant cassava varieties,They dont get diseased
beans,what are the common types of beans,Climbing and bush type beans
cassava,what are the common types of cassava,There is local and improved cassava varieties. Improved varieties may be resistant to pests and diseases
cassava,what are the common types of cassava diseases,"Bacterial Wilt, Common Blight, Fusarium Root Rot, Fusarium Wilt, Halo Blight,Rust, White Mold."
maize,what are the common types of maize,White maize and popcorn maize
maize,what are the common types of maize pests,"Stem borers, fall army worm, termites, etc"
maize,what are the common weeds in a maize garden,"Couch grass, wandering jew, etc"
general,what are the components of Soil?,"Organic matter, water, minerals and microorganisms"
general,what are the components of sprinkler irrigation system?,"A sprinkler, a delivery pipe and a pump"
beans,what are the conditions that favors the growth of beans,Good soil and weather conditions
cassava,what are the conditions that favors the growth of cassava,Good soil and weather conditions
general,what are the dangerous of soil erosion,Loss of nutrients and environmental degradation
general,what are the dangers of pests to the crops,They reduce yield
general,what are the disadvantages of crop rotation,It may lead to accumulation of pests
maize,what are the effects of weeds in the garden?,"Weeds competite for nutrients, space and habour pests"
cassava,what are the elephant weeds in my Cassava garden,It is a weed that needs to be removed
general,what are the environmental tractors that makes the soil to be infertile,Soil erosion and leaching of minerals
cassava,what are the examples of weeds in cassava crops.,Couch grass
beans,what are the factors affecting seed germination in beans,"Moisture, temperature and nutrients"
beans,what are the fertilizers used in beans,Adding in low nitrogen fertilizers at planting time is ok though usually beans manufacture their own nitrogen directly from the soil.
cassava,what are the good practices when weeding cassava?,"Do not dig deeper to cut cassava roots, extend the soil to the root area"
cassava,what are the good season of planting cassava,Rainy season
maize,what are the good season to plant maize,The August November season
cassava,what are the good stems for planting,"Stems with no streaks, with buds, mature enough"
cassava,what are the importance of cassava leaves?,Food and vegetable
general,what are the importance of crop rotation,It is important in improving yields and cycling nutrients
maize,what are the importance of soil moisture in the growth of maize crop.,Allow for successive completion of crop life cycle
general,what are the importance's of shifting cultivation,Not many it just allows the soil to rest
beans,what are the major diseases in beans,"Anthracnose , angular leaf spot , rust and common bacterial blight"
cassava,what are the measures of preventing brown streak disease?,Use resistant varieties of cassava and manage the crop well
maize,what are the method l should use when applying fertilizer in my maize garden,Broadcasting or near the crop
maize,what are the method of applying fertilizer in the maize garden,Broad casting
general,what are the method of removing the weeds in my garden,Weeding or using herbicides
maize,what are the methods of harvesting Maize Crop?,Hand harvesting mainly
cassava,what are the methods of land preparation for planting cassava?,Digging and mounding the land or digging holes
general,what are the objectives of primary tillage?,To easily prepare land
beans,what are the pest of beans,"Depending on the stage of growth, they include bruchids, stem maggots, several types of flies, thrips, bettles, pod borers, sap sucking insects etc"
cassava,what are the pests of cassava crop,"Whiteflies, green mites, goats, pigs etc"
maize,what are the pests of maize,"Stem borers, fall army worm, termites, etc"
cassava,what are the processes of preparing cassava,Harvest-Peel-Chop and prepare either fresh or dry and make four
cassava,what are the purposes of growing cassava,Food and income security
general,what are the qualities of a good fertilizer?,It should be able to be easily absorbed by plants
general,what are the qualities of a good store?,Cool and dry
cassava,what are the quality of good cassava plant,"A good cassava plant should have no disease, many nodes and be able to yield highly"
cassava,what are the side effects of cassava leaf infections to the root tubers?,Low productivity is registered
cassava,what are the side effects of planting trees In a cassava garden,They shade leaves and reduce yield
maize,what are the side effects of using chemicals for spraying?,"They get absorbed by the plants and are deposited in plant tissues, they can be poisonous to the one spraying also"
cassava,what are the signs and symptoms of Cassava bacterial wilt,Spots on leaves
beans,what are the signs and symptoms of the common Blight in beans,Water soaked angular peats on the leaf
cassava,what are the signs of Cassava green mite diseases,Folded leaves at the top
beans,what are the signs of anthrocnose,Angular reddish-brown spots on leaves with veins
cassava,what are the signs of bacterial blight in cassava plant?,The stems look dried while the leaves wilt and have brown spots on them
cassava,what are the signs of cassava brown streak?,Brown or yellowing older leaves and necrosis on the roots
cassava,what are the signs of cassava green mite?,Bunchy top character of the stem and green dots on leaves
cassava,what are the signs of cassava mosaic,Folded leaves
beans,what are the signs of the Southern Blight in the beans,Yellowing of foliage with a slight darkening of stem
general,what are the solutions to the farms who can not have access to good variets,The best solution is to contact the nearest office of NARO for the best advice
beans,what are the spacing for beans,60cm (between row) and 20cm (between plants)
maize,what are the spacing for maize,"Depending on variety, it can be 40cm by 35cm or 75cm by 25cm."
beans,what are the spacing of beans,60cm (between row) and 20cm (between plants)
cassava,what are the spacing of cassava,1X1 meter
beans,what are the stages of applying fertilizers in beans,At cropping and at flowering
cassava,what are the stages of weeding cassava,Whenever weeds appear
general,what are the steps involved in soil preparation?,Removal of stumps followed by 1st and second ploughing
cassava,what are the strategies for controlling cassava mosaic disease virus,Use resistant varieties of cassava and manage the crop well
cassava,what are the symptoms of Cassava bacterial blight,Holes on the leaves are the most visible
cassava,what are the symptoms of cassava mosaic,Folded and slightly light green leaves
cassava,what are the symptoms of cassava mosaic disease?,Curled leaves and die back of the stem plus very little or no roots after harvest
cassava,what are the symptoms of cassava poisoning?,Vomiting and convulsions and pain in stomach
cassava,what are the symptoms of fusarium root in Cassava,Yellowing and wilting
general,what are the type of germination in plant?,Epigeal and hypogeal
beans,what are the types of diseases of beans,Fungal and bacterial diseases
general,what are the types of germination,Epigeal and hypogeal germination
beans,what are the use of Root nodules in my beans plant,To fix Nitrogen
cassava,what are the uses of cassava?,Food and income security
cassava,what are the varieties of cassava,NASE and NAROCASS series
maize,what are the varieties of maize?,"Bazooka, Longe 1, longe 3, longe 4, longe 2H, longe 5, etc"
general,what are the ways in which soil loses its fertility?,Poor cropping practices
general,what are the ways in which weeds are classified?,Perennial and annual weeds
beans,what are these flying things that are eating the flowers?,They are flower beetles and flower thrips
maize,what are these long small caterpillars eating the maize in my garden?,Fall armyworm or stem borers
beans,what are these white things that form on the stem?,It is Sclerotium disease (southern blight) caused by sclerotium rolfsii
general,what are weevils,Weevils are insects that damage grains
cassava,what are white flies,Whiteflies are Hemipterans that typically feed on the undersides of plant leaves.
cassava,what attacks the cassava stems and puts watery things on it?,They are scale insects
general,what attracts pollinators in my garden,Flowers produce attractants
beans,what beans variety is drought tolerant,NAROBEANS
beans,what best method can I use to water my beans,Irrigation and field flooding
maize,what brings a hole from maize,Fall army worm or stem borers
cassava,what brings brown streak disease in cassava.,Whiteflies spread the disease but also mainly through infested/infected cassava stems
cassava,what brings cassava plant brown streak disease.,"Whiteflies and infected stems carry A virus called cassava brown streak virus found in tissues of cassava, especially stems causes the disease"
cassava,what brings diseases on the roots?,Cassava brown streak virus (CBSV) affects all part of the cassava
cassava,what brings in white fly in a cassava garden,Whiteflies come from neighbouring gardens and plants and infest your field
beans,what brings the flies in my beans garden,Eggs from pests
cassava,what brings very small flies in my cassava garden,"Failure to spray with effective insecticide, poor field sanitation i.e. failure to completely destroy previous crop debris."
general,what brings very small flies in my garden,Flies are eggs that have hatched from insects infesting your garden
cassava,what brings worms in the inner part of the cassava root?,"Naturally nematodes parasites eat the plant roots but when the root is damaged by the virus, worms easily get in through the damaged part"
cassava,what can I control male rat in my cassava,Use rodenticides
cassava,what can I do if my cassava garden is affected by mosaic disease,If possible up root and plant new good seeds as the yield will be miserable
cassava,what can I do in order to improve the yields of cassava?,Use good planting material of resistant varieties
beans,what can I do to avoid my beans from getting dry,Watering during dry season/ planting seeds at the bringing of the rain seasons
cassava,what can I do to control cassava mosaic,Cassava mosaic disease is controlled by the use clean planting material of resistant varieties
cassava,what can I do to control cough grass in cassava,Use the right herbicide which is recommended
beans,what can I do to make my beans put good seeds,Plant better varieties
cassava,what can I do to make my cassava grow well,Undertake good agric practices
beans,what can I do to make the folded leaves open?,"If it is due to a viral disease, there is no way because there is no solution yet for the viral diseases especially in healing the already sick plant."
cassava,what can I do to prevent spear grass in my cassava garden,Spray with herbicide
general,what can I do to prevent spear grass in my garden,Use herbicides
cassava,what can I do to prevent weeds in my cassava garden,Use herbicides
beans,what can I do when my beans are flowering,Spray some foliar fertilizer
cassava,what can I do with my cassava stem after cultivating,You can sell them as seed or use them as firewood
beans,what can I use for cleaning my beans after threshing,Mechanical threshers are available
